state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
,,,,,,,,,,0,0,0.00125,0.0030211,
,,,,,,,,,,0.0006109,0.0024655,0.0013489,0.0035955,0.0087032
,,,,,,,,,,0,0.0021561,0.0041551,0.003392,0.0133053
,,,,,,,,,,0,0,0.0033761,0.0015987,0.0089767
,,,,,,,,,,0,0.0025532,0,0.0022901,0.0079365
,,,,,,,,,,0,0.0017346,0.0018738,0.0017346,0.002045
,,,,,,,,,,0,0.0014981,0.0045135,0.0056101,0.0056711
,,,,,,,,,,0,0.0011291,0.0013854,0.0030628,0.0051343
,,,,,,,,,,,0,0.002805,0.0064795,
,,,,,,,,,,0,0.0016367,0.0014164,0.0040906,0.0060459
,,,,,,,,,,0.0023184,0.0013587,0.0008463,0.0021768,0.0058792
,,,,,,,,,,0.0007722,0.0004742,0.0019084,0.0049572,0.0057252
,,,,,,,,,,0,0.0016278,0.0024583,0.0023641,0.0081893
,,,,,,,,,,0.0011673,0.0003935,0.0029196,0.0030498,0.0069228
,,,,,,,,,,0.0011344,0.0010204,0.0020816,0.0030457,0.0064532
,,,,,,,,,,0.0015291,0.0010571,0.0015962,0.0022472,0.005291
,,,,,,,,,,0.0012717,0.001082,0.0032019,0.0025658,0.0074127
,,,,,,,,,,0.0022873,0.0025349,0.0027037,0.0038677,0.0083799
,,,,,,,,,,0.0011325,0.0010597,0.0015334,0.0035107,0.0086482
,,,,,,,,,,0.0009083,0.0020367,0.0028998,0.0036613,0.0053362
,,,,,,,,,,0.0014572,0.0022435,0.0029902,0.0039991,0.0097056
,,,,,,,,,,0.0016247,0.0008658,0.0020588,0.0053577,0.0054678
,,,,,,,,,,0,0,0.0019133,0.0029176,0.0014472
,,,,,,,,,,0.0009794,0.0032031,0.001462,0.0039909,0.0076336
,,,,,,,,,,0,0.0006094,0.0019685,0.0037791,0.0058875
,,,,,,,,,,0,0.0007591,0.0011289,0.0026114,0.0095557
,,,,,,,,,,0.0034996,0.0016384,0.0019091,0.0023753,0.0072267
,,,,,,,,,,0,0.00104,0.0017668,0.0015472,0.0042283
,,,,,,,,,,0,0.000977,0.001916,0.0024648,0.0033935
,,,,,,,,,,0,0,0.0046154,0.0027739,0.0079491
,,,,,,,,,,0.0006774,0.0018426,0.0017466,0.0045795,0.007952
,,,,,,,,,,0.0002482,0.0017928,0.0012527,0.0022575,0.0046483
,,,,,,,,,,0.0003041,0.0012442,0.0028381,0.0033025,0.0074173
,,,,,,,,,,0,0,0.0004556,0.0021968,0.0056738
,,,,,,,,,,0.0006022,0.0008595,0.0015767,0.0023341,0.0055838
,,,,,,,,,,0.0002201,0.0006446,0.0007719,0.00259,0.0073177
,,,,,,,,,,0.0006631,0.0016322,0.0010828,0.0048123,0.0080808
,,,,,,,,,,0,0,0.0004161,0.0005938,0.0013774
,,,,,,,,,,0.0004065,0.0006705,0.0014912,0.0025038,0.0043399
,,,,,,,,,,0,0,0.002994,0.002,
,,,,,,,,,,0,0.0007974,0,0.0031201,0
,,,,,,,,,,0,0.0003338,0.0016452,0.0037037,0.0036881
,,,,,,,,,,0.0002832,0.0014496,0.001147,0.0018005,0.0041209
,,,,,,,,,,0,0,0.0010627,0.0023277,0.0027907
,,,,,,,,,,0.0010406,0,0.0028209,0.002907,
,,,,,,,,,,0,0,0.0008993,0,
,,,,,,,,,,0.0007987,0,0.0021164,0.0020284,0
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0.0009699,0.0009862,0.0011099,0.0017575,0.0077821
,,,,,,,,,,0,0,0.0017316,0.0014111,0.005291
,,,,,,,,,,0,0.0013167,0,0.0015244,0.0027473
,,,,,,,,,,0,0,0,0.0010638,0.0023622
,,,,,,,,,,0,0.0027473,0,0.0057471,
,,,,,,,,,,0.0006878,0.0010971,0.0019585,0.0020894,0.0032129
,,,,,,,,,,0.0003234,0.0005915,0.000774,0.0026729,0.0031586
,,,,,,,,,,0,0,0.0017331,0,
,,,,,,,,,,0,0.0007452,0,0,0.0070922
,,,,,,,,,,0,0,0.0023015,0,0
,,,,,,,,,,0,0.0005216,0,0.0023753,0
,,,,,,,,,,0,0,0,0.0035714,0.0010235
,,,,,,,,,,,0.006424,0.0057361,0.0029155,
,,,,,,,,,,0.0012948,0.0012614,0.0014602,0.0027975,0.0042135
,,,,,,,,,,,,,,
,,,,,,,,,,,,0,0.0036496,
,,,,,,,,,,0,0.0009891,0.0009009,0,
,,,,,,,,,,0,0,0,0.001692,
,,,,,,,,,,0,0,0,0.0039526,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0026385,0,0.0036232,0.002907,
,,,,,,,,,,0.0023202,0.0017637,0.0020921,0.0030303,
,,,,,,,,,,0,0.0007855,0.0033981,0.0042508,0.0056782
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0.0022124,0,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0.0061728,0,0,0.0041459,0.0036166
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0029326,0,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,,
,,,,,,,,,,,,0,,
,,,,,,,,,,0.0031447,0.0019417,0.0031847,0.0039063,
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0,0,0.0019417,
,,,,,,,,,,0,0.0038986,0.0061728,0.0059791,0.0182371
,,,,,,,,,,,,0.0058997,,
,,,,,,,,,,0,0.0017153,0.0027881,0.0019971,0.0059128
,,,,,,,,,,0,0.0012484,0.0028874,0.0032949,0.0029326
,,,,,,,,,,,0.0025063,0.0020202,0.0033898,
,,,,,,,,,,0,0,0.0046296,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.001218,0.0038948,0.004896,0.0020619
,,,,,,,,,,0,0.0010917,0.001634,0.0037566,0.0071327
,,,,,,,,,,0,0,0.0013495,0.0037244,0.0036364
,,,,,,,,,,0,0,0.0014556,0,
,,,,,,,,,,0,0,0.0009174,0.0039604,0.0025105
,,,,,,,,,,0.0035398,0.0009662,0.0024162,0.0042481,0.0081421
,,,,,,,,,,,,0.007772,0.0107527,
,,,,,,,,,,0,0,0.00375,0,0.0034602
,,,,,,,,,,,,,,
,,,,,,,,,,0.000997,0.0021186,0.0016488,0.0025138,0.0040404
,,,,,,,,,,0.0011274,0.0006456,0.0053129,0.0019305,0.0022676
,,,,,,,,,,0,0.0021598,0.0028653,,
,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0.0031348,,,
,,,,,,,,,,0.0021413,0.0041667,0.0028544,0.0014556,0.0093168
,,,,,,,,,,0,0,0.0015723,0.0026738,
,,,,,,,,,,,0,0.0022727,0.0034247,
,,,,,,,,,,0.0032895,0.0045662,0,0,
,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.002457,0.0025445,0.015873
,,,,,,,,,,,,,,
,,,,,,,,,,0.0015504,0.0022438,0.0030769,0.0031566,0.0035714
,,,,,,,,,,0,0,0.0040584,0.0030992,0
,,,,,,,,,,0.005814,0.0047125,0.0028653,0.0038647,0.0039448
,,,,,,,,,,0,0.0029326,0.0042796,0.0011442,0.0119048
,,,,,,,,,,0.0039293,0.000969,0.0021521,0.0043764,0.0059524
,,,,,,,,,,0,0,0.0032626,0.0023392,0
,,,,,,,,,,0.0048662,0.0032154,0,0.0039113,0.0025126
,,,,,,,,,,0,0.0013351,0.0014444,0.0034404,0.0091146
,,,,,,,,,,0,0.0014682,0.0016197,0.0021286,0.0051614
,,,,,,,,,,0.0025974,0.0015015,0.0014903,0,
,,,,,,,,,,0,0.0016447,0.0025907,0.0021008,
,,,,,,,,,,0.0066372,0.0023585,0.004223,0.0035842,0
,,,,,,,,,,0.000565,0.0023157,0.0009425,0.0008173,0.0022239
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,
,,,,,,,,,,0,0.0019305,0.0015924,0.0027675,0.0036563
,,,,,,,,,,0.0011641,0.0015492,0.0017452,0.0025063,0.005994
,,,,,,,,,,0.0036232,0,0,0.0061162,
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0.002008,0.0020986,0.0015175,0.0017621,0.004008
,,,,,,,,,,0,0.0032258,0.0030807,0.0008591,0.0042105
,,,,,,,,,,0,0.0016584,0.0023669,0.0030488,0.0059172
,,,,,,,,,,,0,0,0.0042283,
,,,,,,,,,,0,0.0040193,0.0012407,0.0016273,0.0031949
,,,,,,,,,,0.0006274,0.0014561,0.0025605,0.0018143,0.0033573
,,,,,,,,,,0,0,0.0017361,0.0113314,
,,,,,,,,,,0.0017084,0.0009967,0.0006624,0.0021645,0.0033837
,,,,,,,,,,0,0,0,0.001634,0
,,,,,,,,,,0.0021008,0.0013369,0.0019724,0.002809,
,,,,,,,,,,0,0.0005564,0.0015704,0.0018409,0.0038183
,,,,,,,,,,0.0038685,0.00271,0,0.0023364,0.0075472
,,,,,,,,,,,0,0.002584,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,
,,,,,,,,,,0,0,0.0015083,0,0.0039526
,,,,,,,,,,0.0004673,0.0010328,0.0016906,0.0030255,0.0050499
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0007893,0.0013831,0,0.0020736,0.0036664
,,,,,,,,,,0,0,,,
,,,,,,,,,,,0.0038314,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,
,,,,,,,,,,,0,0.0024213,0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,0,
,,,,,,,,,,0,0,0,0.0011136,0.0018657
,,,,,,,,,,0,0.0010173,0.0018365,0,0
,,,,,,,,,,,,0.0035336,,
,,,,,,,,,,0,0.0009524,0.0068285,0.0013486,0.0049782
,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.002445,0.0070588,0.0106762
,,,,,,,,,,0.0006202,0.0018349,0.0022562,0.0020265,0.0074564
,,,,,,,,,,0.0009059,0.0010194,0.0018,0.0024628,0.0061063
,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0024631,0,0.0012438,0.0017452,0.0029586
,,,,,,,,,,0.0021097,0.0011123,0.001006,0.0043796,0
,,,,,,,,,,0,0,0.000651,0,0.0014472
,,,,,,,,,,0,0,0.0025641,0.0032206,0.0031348
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0.0104712,0.0022831,,
,,,,,,,,,,,0,0.0035336,,
,,,,,,,,,,,,0.0037594,,
,,,,,,,,,,0,0.002381,0.0016878,0.001004,0.0069324
,,,,,,,,,,,0.0040404,0,0,
,,,,,,,,,,,0.0030581,0.0022124,,
,,,,,,,,,,0.0009158,0.001006,0.0016313,0.0020222,0.0047893
,,,,,,,,,,0.0004239,0.0005615,0.0010506,0.0015686,0.0045872
,,,,,,,,,,0,0.0005354,0.0009197,0.0018845,0.0031542
,,,,,,,,,,0.0095057,0.0029383,0.0024287,0.0055317,0.0040377
,,,,,,,,,,0,0,0.0010504,0.004878,0.0061162
,,,,,,,,,,0,0,0.0028791,0.0012392,0
,,,,,,,,,,0,0.0014327,0.0022883,0,0.002551
,,,,,,,,,,0,0.00125,0.0007725,0.0026357,0.0053805
,,,,,,,,,,0,0.001065,0,0.0019096,0.0010101
,,,,,,,,,,0.0003591,0.0007842,0.0013856,0.0019508,0.0038137
,,,,,,,,,,0.0006165,0.0004444,0.000365,0.0022104,0.0026643
,,,,,,,,,,0,0,0.000731,0.002331,0.005291
,,,,,,,,,,0,0,0.0016393,0,
,,,,,,,,,,,0.0027248,0,,
,,,,,,,,,,0,0.0011672,0.0016417,0.0016226,0.0051118
,,,,,,,,,,0,0,0.0009597,0,0
,,,,,,,,,,0.0005681,0.0001507,0.0007963,0.0024932,0.0027768
,,,,,,,,,,0.0004919,0.0004548,0.0010782,0.0021254,0.0024691
,,,,,,,,,,0.0005573,0.0015569,0.0009307,0.0026168,0.0042105
,,,,,,,,,,0,0.002079,0.0010504,0,
,,,,,,,,,,0,0.0008621,0.00199,0.0050209,0
,,,,,,,,,,0.0003635,0.0003676,0.0014871,0.0016415,0.004321
,,,,,,,,,,0.0006658,0.0003769,0.0004838,0,0.0066335
,,,,,,,,,,0.0002283,0.0005702,0.0004134,0.0014758,0.0018477
,,,,,,,,,,0,0.0009872,0.0009328,0.0011198,0.0093897
,,,,,,,,,,0.0004548,0.0009606,0.0015345,0.0018959,0.0051606
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0.0027855,0,0,0,
,,,,,,,,,,0.0013812,0.0005056,0.0022039,0,0.0069444
,,,,,,,,,,0.0002524,0.0006015,0.0012692,0.0014078,0.003348
,,,,,,,,,,0,0,0.0017715,0.0012953,0.0031153
,,,,,,,,,,,,,,
,,,,,,,,,,0.0016681,0,0.0028653,0.0054348,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.0013538,0.0010521,0.0038491,0.0012937
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.0005255,0,0,0.0045455
,,,,,,,,,,0.0001943,0.0006439,0.0019886,0.0010067,0.0039541
,,,,,,,,,,0,0.0006131,0.0015898,0,0.0028169
,,,,,,,,,,0.0013699,0.0026525,0,0,
,,,,,,,,,,0.0002864,0.0005274,0.001502,0.0013219,0.0026572
,,,,,,,,,,0,0,0.0009718,0,0.0057143
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0008137,0,0.0013947,0.0047506,0.0030488
,,,,,,,,,,0,0,0.0010846,0,0
,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0.001675,0.0021834,0.003861
,,,,,,,,,,,0,0,0.0032362,
,,,,,,,,,,0,0.0020964,0.0020964,0,
,,,,,,,,,,0,0.0031008,0,0,
,,,,,,,,,,0.0003695,0.0011755,0.0008478,0.0004329,0.0029797
,,,,,,,,,,0,0,0.0045317,0.0057034,0.0064309
,,,,,,,,,,0,0,,,
,,,,,,,,,,0.0010271,0.0012124,0.0012449,0.00234,0.0067743
,,,,,,,,,,0.0015504,0,0,0,
,,,,,,,,,,0.0003538,0.000419,0.0012492,0.0016564,0.0040795
,,,,,,,,,,0,0,0,0.002439,
,,,,,,,,,,0,0.0033149,0.0012315,0.0055249,0.0050378
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.0008309,0.001206,0.0032485,0.0038382
,,,,,,,,,,0,0,0.0017762,0,
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0,0,,,
,,,,,,,,,,0,0,,,
,,,,,,,,,,0,0,,,
,,,,,,,,,,0.0001743,0.0005637,0.0005928,0.0008865,0.0028736
,,,,,,,,,,0.0001341,0.000412,0.0012537,0.0006874,0.0041958
,,,,,,,,,,0.0000886,0.0011427,0.0005945,0.0008746,0.0043447
,,,,,,,,,,0,0.0004037,0.000978,0.000528,0.0030883
,,,,,,,,,,0.0002517,0.001649,0.0009204,0.001944,0.0029046
,,,,,,,,,,0.000484,0.0006931,0.0008623,0.0022,0.0042657
,,,,,,,,,,0.0003603,0.0001453,0.0004804,0.0018312,0.0026865
,,,,,,,,,,0.0003252,0.000708,0,0.002442,0.003096
,,,,,,,,,,0,0.0006427,0.000846,0.0025608,0
,,,,,,,,,,0.0005179,0.0015283,0.0005952,0.0014399,0
,,,,,,,,,,0.0019011,0,0.002551,,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0,0.0031546,
,,,,,,,,,,0.0007639,0,0,0,
,,,,,,,,,,0.0005634,0,0,,
,,,,,,,,,,0,0.0010493,0.0012107,0.0031496,0.0059347
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0,0.0040984,0,0,
,,,,,,,,,,0.0003165,0.0006022,0.0003328,0.0014225,0.002443
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.0032051,,,
,,,,,,,,,,0.0006361,0.0024789,0.0004195,0.0010204,0.002765
,,,,,,,,,,0.0021097,0,0,0.0035714,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0,0,0,0.0017331,
,,,,,,,,,,0,0,0.0015361,0,0.0035714
,,,,,,,,,,0.0002184,0.0007128,0.0005442,0.0009862,0.000516
,,,,,,,,,,0,0,0.0008389,0,0.0018051
,,,,,,,,,,0.0002695,0.0005358,0.0005417,0.0014603,0.005676
,,,,,,,,,,0.000335,0.0006493,0.0005867,0.0016374,0.0039797
,,,,,,,,,,0.0004347,0.0009082,0.0010976,0.0018742,0.003909
,,,,,,,,,,0,0,0.0008163,0.0010142,0.005
,,,,,,,,,,0.0001526,0.0004949,0.0014881,0.0014168,0.0030395
,,,,,,,,,,0.0001949,0.0011218,0.0004813,0.001938,0.0047434
,,,,,,,,,,0,0.0002811,0.0009839,0.000713,0.0019973
,,,,,,,,,,0,0.0003399,0.0014399,0.002091,0.0052743
,,,,,,,,,,0,0.0011161,0.0012315,0,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0.0005845,0.0008244,0.010989
,,,,,,,,,,0,0,0.0019822,0.0057971,0.0034014
,,,,,,,,,,0.0007479,0.0007241,0.0018282,0.0011481,0.0055096
,,,,,,,,,,0.0004054,0.0006915,0.0013449,0.0021158,0.0032191
,,,,,,,,,,0.000774,0.0008826,0.0011455,0,
,,,,,,,,,,0.0004093,0.0008163,0.0003973,0.0009315,0.0008065
,,,,,,,,,,0,0,0.0008026,0.0012019,0.0040568
,,,,,,,,,,0.0004322,0.0005556,0.0008278,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,0.0018059,0.0011044,0.0006165,0.0016093,0.0034623
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.003861,
,,,,,,,,,,,0.0028653,0,0.0027933,0.0078038
,,,,,,,,,,,,0,0,
,,,,,,,,,,,,0.0030211,0,0.0027701
,,,,,,,,,,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0015456,0,0.0006498,0.0026371,0.0045403
,,,,,,,,,,0,0,0.0019194,0.0080214,
,,,,,,,,,,0,0,0.0022026,0,
,,,,,,,,,,0,0.0005875,0.0047506,0.0031546,0.0055944
,,,,,,,,,,,0,0,,
,,,,,,,,,,0.0045351,0.0031008,0,0.0016287,0.0031447
,,,,,,,,,,,,0,0,
,,,,,,,,,,0,0,0,0.0037383,
,,,,,,,,,,0.0014045,0,0.0037879,0.0031646,0
,,,,,,,,,,,,0.008,,
,,,,,,,,,,,,,,
,,,,,,,,,,,0,,0,
,,,,,,,,,,0.0013342,0.001432,0.0007773,0.0031532,0.0038536
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.0023566,0.0034819,0.0036101,0.0093209
,,,,,,,,,,0,0,0.0022523,0.0075251,0.0041609
,,,,,,,,,,0,0.0015385,0.0023068,0.0014205,0.0022936
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0.0005574,0.0010183,0.0010178,0.0056657,0.0036991
,,,,,,,,,,0.0025806,0.0010621,0.0030457,0.0011912,0.004529
,,,,,,,,,,0.0023641,0,0.0010406,0.0007184,0.0048426
,,,,,,,,,,,,0.0029586,0,
,,,,,,,,,,0.0022497,0.001675,0.0020776,0.0043415,0.0021459
,,,,,,,,,,,,,,
,,,,,,,,,,0.0001843,0.0004904,0.0007374,0.0012799,0.0047293
,,,,,,,,,,0,0.0011834,0.0011025,0,0.0020964
,,,,,,,,,,0,0,0.0012853,0.0011869,0.0009775
,,,,,,,,,,0.0009372,0.0009804,0,0.0061538,
,,,,,,,,,,0.0007228,0.0003346,0.0019857,0.0029699,0.0099783
,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0010246,0,0.0030534,0.002451,
,,,,,,,,,,0.0008118,0.0014365,0.0014409,0.00202,0.0069035
,,,,,,,,,,0,0,,,
,,,,,,,,,,0.0008034,0.0009498,0.0014836,0.001881,0.0045111
,,,,,,,,,,0,0,0.0010799,0.0030912,
,,,,,,,,,,0.0007639,0.0015984,0.0019383,0.0032386,0.0065384
,,,,,,,,,,0.0014627,0.0018376,0.0017135,0.0033319,0.0044444
,,,,,,,,,,,,,,
,,,,,,,,,,0.0006633,0.0010054,0.0021521,0.0025735,0.0057582
,,,,,,,,,,0.0022096,0.0007538,0.0019294,0.0021766,0.0052682
,,,,,,,,,,0,0.0014706,0.0014993,0.0018868,
,,,,,,,,,,0.000276,0.0001708,0.0007833,0.0011368,0.0009551
,,,,,,,,,,0.0011038,0.0009447,0,0.0012048,0.0067437
,,,,,,,,,,0.0007402,0.0004589,0.0017552,0.0052805,0.0039331
,,,,,,,,,,0.0016287,0,0.0017715,0.0032949,0
,,,,,,,,,,0.0002665,0.0014193,0.0025579,0.0030488,0.004285
,,,,,,,,,,0.0021529,0,0.0009434,0.0014793,0.0060606
,,,,,,,,,,,0,,,
,,,,,,,,,,0.0022124,0.002065,0.0033417,0.0041265,0.0041632
,,,,,,,,,,0,0.0054113,0.0037793,0.0006579,0.0045732
,,,,,,,,,,,,,,
,,,,,,,,,,0,0,0.0014903,0,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0013649,0.0013011,0.0028337,0.0039502,0.0075044
,,,,,,,,,,0.0010041,0.0014711,0.0016542,0.0030063,0.0049922
,,,,,,,,,,0.0010684,0.0019512,0.0024384,0.0033436,0.0074746
,,,,,,,,,,0.0007405,0.0006692,0.0026277,0.0024871,0.0072617
,,,,,,,,,,,,0,,
,,,,,,,,,,,,0,,0
,,,,,,,,,,0.0035842,0,0.0077519,0.0023641,0.001845
,,,,,,,,,,0.0031104,0.0032967,0.0018868,0,0.00271
,,,,,,,,,,,,0,0.0021882,
,,,,,,,,,,0.0027624,0,0.0016304,0.000702,0.0035311
,,,,,,,,,,0.0005097,0.0009368,0.0026978,0.0010672,0.0066477
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0007022,0.0009753,0.00095,0.0023292,0.0047904
,,,,,,,,,,0,0.0005552,0.0010499,0.0006423,0.0040858
,,,,,,,,,,0.000983,0.002422,0.0008215,0.0021866,0.0076741
,,,,,,,,,,0,0,0.0014514,0.0034483,
,,,,,,,,,,0.0009272,0.0008163,0.0007156,0.0014656,0.002997
,,,,,,,,,,0.0003369,0.0003061,0.0003081,0.0013983,0.0026028
,,,,,,,,,,0.0006519,0.0003381,0.0004979,0.002213,0.0022588
,,,,,,,,,,0.0002239,0.0004855,0.0004492,0.0016169,0.0030353
,,,,,,,,,,0.0004301,0.000559,0.0008099,0.0010186,0.0035855
,,,,,,,,,,0.0008392,0.0010727,0.0011641,0.001723,0.0046116
,,,,,,,,,,0.0009881,0.0016951,0.002713,0.0034792,0.0111443
,,,,,,,,,,0,0,0,0.0019036,0.0011862
,,,,,,,,,,,,0.0024096,0.003861,0
,,,,,,,,,,,0,0.0076142,0.0027174,
,,,,,,,,,,0.0009973,0.0008943,0.0011503,0.0022788,0.0044552
,,,,,,,,,,0.0014269,0.0019383,0.0024502,0.0028409,0.004551
,,,,,,,,,,0.0012344,0.0015767,0.0020172,0.0029916,0.0070509
,,,,,,,,,,0.0003826,0.0007009,0.000776,0.0011063,0.0038426
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.0029326,0,0,0
,,,,,,,,,,0.0006986,0.000928,0.0015583,0.0032766,0.0069476
,,,,,,,,,,0.0005481,0.0006324,0.0006131,0.0004261,0.0040323
,,,,,,,,,,0.000873,0.0006602,0.0026814,0.0027227,0.0056752
,,,,,,,,,,0.0008659,0.0009916,0.001283,0.0019208,0.0047533
,,,,,,,,,,0.0019685,0.0014959,0.0013405,0.0022091,0.0059084
,,,,,,,,,,0.0023866,0,0.0019286,0.0065431,0.0084317
,,,,,,,,,,0.0009597,0.0007148,0.0006109,0.0050934,0
,,,,,,,,,,0.001004,0.0021186,0.000693,0.0028798,0.0049554
,,,,,,,,,,0.0015579,0.0008431,0.0015339,0.0028277,0.0076312
,,,,,,,,,,0.0007294,0.0012887,0.0034364,0,0.0041841
,,,,,,,,,,0.0004137,0.0014503,0.0016954,0.0028369,0.0041344
,,,,,,,,,,0.0008672,0.0019244,0.0017765,0.002741,0.0063662
,,,,,,,,,,0.0026076,0.0010256,0.0008921,0.0033708,0.0021142
,,,,,,,,,,0.0010341,0.0015392,0.001758,0.0022197,0.0058009
,,,,,,,,,,0,0.002991,0.0010331,0.0012837,0.0045455
,,,,,,,,,,0.0002964,0.0012953,0.0008378,0.0006676,0.006176
,,,,,,,,,,0.000694,0.0014933,0.0018004,0.0022503,0.0052716
,,,,,,,,,,0.0017637,0,0.0025413,0.0016447,0
,,,,,,,,,,,,,,
,,,,,,,,,,0.0006627,0.001457,0.0022543,0.0042941,0.0074683
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0,0.0017016,0.0013569,0.0026316,0.0063916
,,,,,,,,,,0,0.0018149,0.0022371,0.0015898,0.0029895
,,,,,,,,,,0.0009141,0.0011892,0.0018756,0.0024107,0.0065251